,polarity,tweet
149,0.0,TechnologyNS has reported on an alltime low of public trust in Google Amazon Facebook and Apple GAFA E
150,0.5,Police Det Colin and sassy PI Emily are magic togetherStart this series with THE SCENT OF LIESBook 1 of 7 of
151,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
152,0.0,landofthe80 I just bought the dvd of this movie a couple months ago from Amazon
153,0.7,Joe Jonas Attends Amazon Prime Videoamp8217s Chasing Happiness Premiere with Sophie Turner in Los Angeles 060320
154,0.3041666666666667,a clean sweet Christian love story CATCH ME IF YOU CAN christianromance asmsg mustread KDP
155,0.04999999999999999,Deputies Amazon driver kept 890 worth of packages after marking them as missing
156,0.41428571428571426,5 Stars Kelly Morans latest is intensely and profoundly entertaining Puppy Love is a charming heartfelt sexy
157,0.55,RT PhotonBooks An amazing adventurous journey Amazon reader Reviewbookboost mustread conspiracy conspiracyth
158,0.6833333333333333,Naturalhealing books to empower you to achieve exceptional levels of health and happiness
159,0.0,RT slpnggiants And like everything that has to do with amazon they will try to sweep this under the rug
160,0.26666666666666666,RT 1GirlRevo CHALLENGE You may have seen photos like this floating around social media and WE LOVE THIS USPS FedEx UPS
161,0.13636363636363635,New Apple AirPods with Charging Case for 144 shipped at Amazon 15 off
162,0.0,RT azayon3 gpwren Using data analytics to predict injuries in the NFL GB704 Analytics NFL
163,0.35,Say Youre Mine by Christa Wick is a fourbook boxset of steamy amp sweet standalonesAVAILABLE NOWAMAZON
164,0.4583333333333333,RT tracklistOST The Marvelous Mrs Maisel Season 3 Soundtrack by Various Artists Amazon Original SeriesMrsMaisel soundtrack ost htt
165,0.0,RT MartiniWeeni So I just got this pepper spray on Amazon that has a window breaker at the bottom If youre alone in an Uber this could
166,0.0,The Librarians Coven by Kathryn MoonComplete series paranormalromance reverseharem amreading amreadingromance
167,0.3,You Will Smile When Delilah Smiles
168,0.8,Read Within My Heart Joy
169,-0.125,RT CMSaunders81 Have an amazon wishlist for your kids for Christmas Drop them here Maybe if we all help each other that is that ma
170,0.7,TheOlivesMount StayDancingDave thiahera JulianThePoet defcee Indiebound is a good amazon alternative Also you
171,-0.17083333333333334,RT StephaniePMcKea 5Star He kissed her so passionately that her legs lost their strength and she leaned against his hard muscular body
172,0.0,CELEBRATING MAMA BEARS BRAVERY during the holidays and foreverMama Bears struggle is the struggle of eve
173,0.0,Read You will experience adventure romance humor and dramaEmerald Wells Caf
174,1.0,TURTLES for the holidaysStephanie Lisa Taras Turtle Book is the magnificent 120page scientific sequel to he
175,0.0,RT ThePopHub Amazon has landed worldwide rights to a Peter Berg directed documentary about Rihanna Sources say Amazon paid 25 MILLION f
176,0.7000000000000001,Holidays are a perfect time to change your life and become a sea turtle activistA gripping story deftly tol
